statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BERST1;Stellung im Beruf;STBERUF03;Beamte;KB10A1;Berufsbereiche (KB2010), 1-Steller;;Insgesamt;2101;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BERST1;Stellung im Beruf;;Insgesamt;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-9;Sprache, Literatur, Wirtschaft, Medien, Kunst etc.;671;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BERST1;Stellung im Beruf;;Insgesamt;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-7;Unternehmensorg., Buchhaltung, Recht, Verwaltung;8429;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BERST1;Stellung im Beruf;STBERUF03;Beamte;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-0;Militär;135;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;BERST1;Stellung im Beruf;;Insgesamt;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-1;Land-, Forst- und Tierwirtschaft und Gartenbau;265;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BERST1;Stellung im Beruf;;Insgesamt;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-3;Bau, Architektur, Vermessung und Gebäudetechnik;2271;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BERST1;Stellung im Beruf;STBERUF011;Selbstständige ohne Beschäftigte;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-6;Kaufm. DL, Warenhandel, Vertrieb, Hotel, Tourismus;142;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;BERST1;Stellung im Beruf;STBERUF02;Mithelfende Familienangehörige;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-9;Sprache, Literatur, Wirtschaft, Medien, Kunst etc.;/;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BERST1;Stellung im Beruf;STBERUF051;Arbeiter und Angestellte;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-8;Gesundheit, Soziales, Lehre und Erziehung;1488;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
12211;Mikrozensus;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;BERST1;Stellung im Beruf;STBERUF03;Beamte;KB10A1;Berufsbereiche (KB2010), 1-Steller;KB10-8;Gesundheit, Soziales, Lehre und Erziehung;273;1000;ERW041;Erwerbstätige aus Hauptwohnsitzhaushalten
